tidak_baku,baku
gk,tidak
ga,tidak
gak,tidak
ngga,tidak
nggak,tidak
tdk,tidak
sdh,sudah
udh,sudah
blm,belum
bgt,sekali
bgtt,sekali
dr,dari
dri,dari
yg,yang
klo,kalau
kl,kalau
jd,jadi
jdi,jadi
krn,karena
tp,tapi
sm,sama
lg,lagi
byk,banyak
bnyk,banyak
org,orang
utk,untuk
trs,terus
dgn,dengan
aja,saja
doang,saja
min,
wkwk,
wkwkwk,
wk,
haha,
hehe,
anjir,
anjay,
lol,
astaga,
sampahh,sampah
sampahhh,sampah
macett,macet
banjirrr,banjir
bgtu,begitu
yah,ya
min,admin
awokawokwok,
walkot,walikota
hehehee,
tlg,tolong
jl,jalan
jln,jalan
tpt,tempat
jukir,juru parkir
d,di
transum,transportasi umum
lok,lokasi
dkt,dekat
katena,karena
knp,kenapa
overload,banyak sekali
byktpt,banyak tempat
dlm,dalam
dah,sudah
assalamualaikum,permisi
truck,truk
brp,berapa
skrng,sekarang
bdg,bandung
vs,
dpn,depan
rmh,rumah
bs,bisa
kcuali,kecuali
pdhl,padahal
cm,hanya
emg,emang
kek,seperti
gt,itu
amp,
hayuu,ayo
copotin,copot
iyaa,iya
ajg,
tsbt,tersebut
sektarnya,sekitarnya
butut,jelek
mro,
dsk,desak
khs,khusus
rc,ranca
kr,kiara
cndng,condong
crym,ciroyom
pdlrng,padalarang
stn,stasiun
rjmandala,rajamandala
pungli,pungutan liar
men,
eperiwer,dimana mana
sbg,sebagai
sgt,segitu
hrsnya,seharusnya
kapabel,mampu
sj,saja
apalg,apalagi
mncari,mencari
wc,toilet
rb,
ex,bekas
tuk,untuk
kureeeeeng,jelek
jlnan,jalanan
smpet,sempat
nerima,menerima
ey,
halaah,
tetlihat,terlihat
kureng,jelek
banyakkkk,banyak
lalin,lalu lintas
jgn,jangan
pemkot,pemerintah kota
pemda,pemerintah daerah
jidat,
n,dan
afa,ada
khusis,khusus
bbrp,beberapa
sibook,sibuk
kdm,gubernur
lah,
action,tindakan
hahaha,
numpukwkwkwk,numpuk
cman,hanya
pen,ingin
mao,mau
anjiiirr,
pkl,pedagang kaki lima
pliss,
bnerin,benarkan
transummm,transportasi umum
bandunh,bandung
ugalannnn,ugalan
sy,saya
karean,karena
sidah,sudah
nolak,menolak
bjirr,
koq,
koljem,kolong jembatan
dg,dengan
disitu,di situ
sampe,sampai
buangbuang,buang
tolol,
bego,
anjing,
idiot,
yg,yang
dgn,dengan
utk,untuk
krn,karena
karna,karena
tdk,tidak
sy,saya
sdh,sudah
blm,belum
tsb,tersebut
dr,dari
dlm,dalam
pd,pada
jg,juga
sbg,sebagai
ttg,tentang
bbrp,beberapa
wkt,waktu
tgl,tanggal
jl,jalan
jln,jalan
gg,gang
kec,kecamatan
kel,kelurahan
kab,kabupaten
prov,provinsi
mhs,mahasiswa
dll,
ybs,yang bersangkutan
kalo,kalau
klo,kalau
pas,saat
sampe,sampai
kaya,seperti
kayak,seperti
gini,begini
gitu,begitu
gimana,bagaimana
bikin,buat
udah,sudah
aja,saja
skitar,sekitar
ttep,tetap
hrs,harus
ngangkutin,mengangkut
ngehalangin,menghalangi
lampirin,melampirkan
gapake,tidak pakai
donk,dong
bapakibu,bapak ibu
rw,rukun warga
rt,rukun tetangga
yth,yang terhormat
ngasih,memberi
dibersiin,dibersihkan
engga,tidak
ga,tidak
gak,tidak
bgt,sangat
banget,sangat
thn,tahun
ndak,
mobil,truk
kocak,
nyalahin,menyalahkan
aja,saja
ama,dengan
ancur,hancur
bb,berat badan
beko,ekskavator
belom,belum
bener,benar
beresin,membereskan
bpk,bapak
buat,untuk
cuman,hanya
dah,sudah
dijadiin,dijadikan
dlu,dahulu
dongo,
dtg,datang
gatau,tidak tahu
gituan,seperti itu
gmn,gimana
got,selokan
gr,gara gara
gue,saya
itung,hitung
jdnya,jadinya
kaga,tidak
katrok,norak
kmren,kemarin
kocak,lucu
kyk,seperti
lap,lapangan
lgsg,langsung
lu,anda
luar nurul,tidak masuk akal
malem,malam
mo,mau
musti,harus
nambah,menambah
nelen,menelan
ngetem,berhenti lama
ngambil,mengambil
ngasih,memberi
ngide,berinisiatif
ngisep,mengisap
nih,ini
nolong,menolong
numpuk,menumpuk
nurunin,menurunkan
nyalahin,menyalahkan
omon omon,sekadar omong kosong
ori,asli
ortu,orang tua
pa ogah,pengatur lalu lintas liar
pake,pakai
pindahin,pindahkan
plang,pulang
segitu,sebegitu
simpel,sederhana
skrg,sekarang
smpe,sampai
tetep,tetap
thrifting,membeli barang bekas
tu,itu
woy,hai
cuma,hanya
dulu,dahulu
tuh,itu
sampe,sampai
kemaren,kemarin
gitu,begitu
bip,bandung indah plaza
curanmor,pencurian kendaraan bermotor
laka,kecelakaan lalu lintas
ojol,ojek online
opang,ojek pangkalan
pt,perseroan terbatas
ptdi,pt dirgantara indonesia
pvj,paris van java
satpol,satuan polisi
sbb,sebagai berikut
sdm,sumber daya manusia
tangsel,tangerang selatan
walcot,wali kota
ah,
kok,
sih,
dong,
deh,
kan,
th,
teh,
hah,
eh,
ta,itu
si,
via,melalui
ecis,
over,kelebihan
sih,
sa,
sharing,berbagi
t,
h,
semprot,marah
semprit,marah
mumet,pusing
bin,
norak,
gua,saya
males,malas
zombie,
sungut,
comberan,
dll,
shame,memalukan
on,
you,kamu
wuih,
yaa,ya
yaakk,ya
sih,
biasain,biasakan
min,
admin,
pp,pamong praja
ajig,
asep,asap
auntynya,
bagusin,baguskan
bajingan,
bakal,akan
banyakk,banyak
becus,benar
bodoh,
btw,
bule,orang asing
bumil,ibu hamil
cuangki,cuanki
didiemin,didiamkan
dipake,digunakan
ditaro,disimpan
ditutupin,ditutup
fasilitan,fasilitas
gotham,
hhehe,
hih,
herann,heran
jlan,jalanan
jir,
jirr,
krna,karena
kureeng,jelek
lahh,
limbahb,limbah
ln,
lo,
loh,
lw,
ma,
macetin,macet
makanya,
mampet,mampat
masyarakar,masyarakat
mbl,mobil
menggangu,mengganggu
msh,masih
nah,
ngerubah,merubah
nginjeknya,menginjak
nyah,nya
terimaksih,terimakasih
tidan,tidak
tpsowlp,tps
transfortasi,transportasi
transpotasi,transportasi
vidio,video
no,tidak
tut,
nurul,nalar
organic,organik
saking,sangat
semrawut,kacau
spt,seperti
